ACSIXWWBWUQEHA-UHFFFAOYSA-N|P12236,P35354,P12235,P05141
MFDFERRIHVXMIY-UHFFFAOYSA-N|P21397,P06276,Q15822,Q01959,Q8TCU5,Q9Y5Y9,P46098,Q12791
RLAWWYSOJDYHDC-BZSNNMDCSA-N|P12821
DOUYETYNHWVLEO-UHFFFAOYSA-N|P08684,Q9NR97,P05177,Q9NYK1
ZSCDBOWYZJWBIY-UHFFFAOYSA-N|P11712,P10635,P28223,P33261,P08913,P46098,P11229,P08183,Q01959,P21728,P08588,P14416,P28221,P23975,P28335,P18089,P08684,P35368,P35367,P35348,P08909,P08908,P31645
SNIOPGDIGTZGOP-UHFFFAOYSA-N|P16066,P05091
AIXAANGOTKPUOY-UHFFFAOYSA-N|P08172,P47712,P11229,Q15822
KQPKPCNLIDLUMF-UHFFFAOYSA-N|Q05586,P11712,Q13002,P05177,P48169,Q16445,P10632,P31644,P14867,P36544,P47869,P34903,P43681,P42262
UQRORFVVSGFNRO-UTINFBMNSA-N|Q16739
CBQGYUDMJHNJBX-RTBURBONSA-N|P08684,P10635,P23975,P08183
PZRHRDRVRGEVNW-UHFFFAOYSA-N|Q14432
CESYKOGBSMNBPD-UHFFFAOYSA-N|P00918,P22748,Q13621,P00915
WUBBRNOQWQTFEX-UHFFFAOYSA-N|O15111,P09917,P05164,P9WNC7,Q9NZK7,P35354
AYXYPKUFHZROOJ-ZETCQYMHSA-N|O00555,P43005
NQDJXKOVJZTUJA-UHFFFAOYSA-N|P11712,P20813,P10635,P20815,P11509,P08684,Q72547
QRJJEGAJXVEBNE-HKOYGPOVSA-N|P33261,O75469,Q04782,P08684,P10613
ZTVQQQVZCWLTDF-UHFFFAOYSA-N|P41145,P35372,P41143
PROQIPRRNZUXQM-ZXXIGWHRSA-N|Q92731,P46721,P08183,P03372
RKWGIWYCVPQPMF-UHFFFAOYSA-N|P11712,Q09428,Q16348,Q4U2R8,P33261,P46059,P23219
ATALOFNDEOCMKK-OITMNORJSA-N|P11712,P24462,P05177,P25103,P20815,P33261,P08684
RGPDEAGGEXEMMM-UHFFFAOYSA-N|
XFCLJVABOIYOMF-QPLCGJKRSA-N|P08183,P08684,P05177,P04798,P03372
RTXOFQZKPXMALH-GHXIOONMSA-N|P08149,O76082,P05164,Q16348,Q4U2R8,P46059,Q8TCC7,Q60FT7
MYSWGUAQZAJSOK-UHFFFAOYSA-N|P24462,P05177,P08183,P20815,P08684,P11388,P43700,P43702
CMSMOCZEIVJLDB-UHFFFAOYSA-N|P11712,P24462,P20813,P10635,P10632,P33260,P33261,P11509,P20815,P08684
AAKJLRGGTJKAMG-UHFFFAOYSA-N|P00533,Q9UNQ0,P05177,P22309,P10635,P08183,P10632,Q16678,O75469,P20815,P04798,P08684
RZJQGNCSTQAWON-UHFFFAOYSA-N|P11712,P05177,P15502,P10632,O15439,P35354,P08684,P23219
GMHKMTDVRCWUDX-UHFFFAOYSA-N|P11712,Q14524,P05177,P20813,P10635,P10632,P33261,O75469
MNJVRJDLRVPLFE-UHFFFAOYSA-N|P05181,P11712,P05177,P10635,P33261,P35354,P08684
OJMMVQQUTAEWLP-KIDUDLJLSA-N|P0A7J6
WFPIAZLQTJBIFN-DVZOWYKESA-N|P10635,P28223,P21918,P21728,P08913,P14416,P35367,P35348
GFBKORZTTCHDGY-UWVJOHFNSA-N|P10635,P21728,P28223,P05177,P14416
QZZUEBNBZAPZLX-QFIPXVFZSA-N|P22309,P07550,P08684,P08183
LTMHDMANZUZIPE-PUGKRICDSA-N|Q86UW2,Q86UW1,Q96BD0,P08183,O95342,P05108,O94956,P08684,Q9NYB5,Q8TCC7,Q9NPD5,P46721,Q6ZQN7,Q9Y6L6
UIAGMCDKSXEBJQ-UHFFFAOYSA-N|P20815,P54284,P08235,P35869,Q08289,Q13936,Q02641,O00305,Q13698,O60840,Q01668,P08684
OFZCIYFFPZCNJE-UHFFFAOYSA-N|P33261
KUVIULQEHSCUHY-XYWKZLDCSA-N|P04150,P20815
DLNKOYKMWOXYQA-VXNVDRBHSA-N|P21397,P07550,P21728,P08588,P05177
RJKFOVLPORLFTN-LEKSSAKUSA-N|P11712,P24462,P10635,O75751,P10632,O95342,P33261,P04798,P33527,P04150,P06401,P08183,P03372,Q16678,P11509,P41145,P08235,P05177,P20815,P08684,Q14973,O15245,O15244,P05093
XRASPMIURGNCCH-UHFFFAOYSA-N|P33527,P14324,O95749
MLDQJTXFUGDVEO-UHFFFAOYSA-N|P11712,P24462,P10635,P35968,P10632,P33261,Q92887,P07949,Q9UNQ0,P08183,P17948,P22309,P35916,P11362,P05177,P20813,P09619,P20815,P08684,Q15311,P36888,O15439,P10721,O60656,P04049,P15056
UNFWWIHTNXNPBV-WXKVUWSESA-N|P0A7S3
